#Release 11.4 - par L.68 (lin64)
#Copyright (c) 1995-2009 Xilinx, Inc.  All rights reserved.

#Thu Jul 19 14:00:20 2012

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       system_map.ncd
#OUTPUT FILE:      system_pad.csv
#PART TYPE:        xc5vsx95t
#SPEED GRADE:      -1
#PACKAGE:          ff1136
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
AD34,,IOBS,IO_L5N_SM4N_13,UNUSED,,13,,,,,,,,,
AE1,,IPAD,MGTRXP0_118,UNUSED,,,,,,,,,,,
AE2,,OPAD,MGTTXN0_118,UNUSED,,,,,,,,,,,
AE3,,,MGTAVTTRX_118,,,,,,,,,,,,
AE4,,,GND,,,,,,,,,,,,
AE5,,,GND,,,,,,,,,,,,
AE6,dram_a<4>,IOB,IO_L7N_18,OUTPUT,SSTL18_II,18,,,,,,LOCATED,YES,NONE,
AE7,dram_a<15>,IOB,IO_L9P_CC_18,OUTPUT,SSTL18_II,18,,,,,,LOCATED,NO,NONE,
AE8,dram_dqs<6>,IOB,IO_L9P_CC_22,BIDIR,DIFF_SSTL18_II_DCI,22,,,,NONE,,LOCATED,YES,SPLIT,
AE9,,IOBS,IO_L12N_VRP_22,UNUSED,,22,,,TERMINATION,,,,,,
AE10,,,GND,,,,,,,,,,,,
AE11,dram_dq<37>,IOB,IO_L16N_22,BIDIR,SSTL18_II_DCI,22,,,,NONE,,LOCATED,YES,SPLIT,
AE12,epb_addr<7>,IOB,IO_L0N_CC_RS0_2,INPUT,LVCMOS33,2,,,,NONE,,LOCATED,YES,NONE,
AE13,,IOBM,IO_L0P_CC_RS1_2,UNUSED,,2,,,,,,,,,
AE14,,IOBM,IO_L4P_FCS_B_2,UNUSED,,2,,,,,,,,,
AE15,,,GND,,,,,,,,,,,,
AE16,epb_data<1>,IOB,IO_L6N_D6_2,BIDIR,LVCMOS33,2,12,SLOW,,NONE,,LOCATED,YES,NONE,
